sample,ploidy,cellularity
HRR227264,2,1
HRR227265,2,1
HRR227266,2,1
HRR227267,2,1
HRR227268,2,1
HRR227269,2.96,1
HRR227270,2,1
HRR227271,2,1
HRR227272,2,1
HRR227273,2,1
HRR227274,2,1
HRR227275,2,1
HRR227276,2,1
HRR227277,2,1
HRR227278,2,1
HRR227279,2,1
HRR227280,2.04,1
HRR227281,2,1
HRR227282,2,1
HRR227283,2,1
HRR227284,2,1
HRR227285,2,1
HRR227286,2,1
HRR227287,2,1
HRR227288,2,1
HRR227289,2,1
HRR227290,2,1
HRR227291,2,1
HRR227292,2,1
HRR227293,2,1
HRR227294,2,1
HRR227295,3.88,1
HRR227296,2,1
HRR227297,2,1
HRR227298,2,1
HRR227299,2,1
HRR227300,2,1
HRR227301,2,1
HRR227302,4.56,1
HRR227303,2.04,1
HRR227304,4.96,1
HRR227305,2,1
HRR227306,2,1
HRR227307,2,1
HRR227308,2,1
HRR227309,2.04,1
HRR227310,2,1
HRR227311,2,1
HRR227312,3.12,1
HRR227313,3.8,1
HRR227314,3.76,1
HRR227315,3.88,1
HRR227316,4.2,1
HRR227317,3.96,1
HRR227318,4.84,1
HRR227319,3.6,1
HRR227320,1.96,1
HRR227321,3.88,1
HRR227322,1.96,1
HRR227323,4,1
HRR227324,3.8,1
HRR227325,3.8,1
HRR227326,3.92,1
HRR227327,3.2,1
HRR227328,3.92,1
HRR227329,4.52,1
HRR227330,4.16,1
HRR227331,3.84,1
HRR227332,3.76,1
HRR227333,3.8,1
HRR227334,1.92,1
HRR227335,3.88,1
HRR227336,3.92,1
HRR227337,4.96,1
HRR227338,4.72,1
HRR227339,2,1
HRR227340,4.84,1
HRR227341,3.08,1
HRR227342,3.72,1
HRR227343,3.8,1
HRR227344,4.92,1
HRR227345,1.96,1
HRR227346,3.88,1
HRR227347,4,1
HRR227348,2,1
HRR227349,3.12,1
HRR227350,3.84,1
HRR227351,3.04,1
HRR227352,3.04,1
HRR227353,3.88,1
HRR227354,1.96,1
HRR227355,3.68,1
HRR227356,2.96,1
HRR227357,1.96,1
HRR227358,3.24,1
HRR227359,2,1
HRR227360,4.8,1
HRR227361,4.8,1
HRR227362,3.04,1
HRR227363,4.68,1
HRR227364,3.6,1
HRR227365,4.76,1
HRR227366,1.96,1
HRR227367,1.92,1
HRR227368,3.8,1
HRR227369,1.96,1
HRR227370,3.4,1
HRR227371,1.88,1
HRR227372,1.96,1
HRR227373,3.16,1
HRR227374,4.04,1
HRR227375,3.96,1
HRR227376,3.44,1
HRR227377,3.92,1
HRR227378,3.12,1
HRR227379,4.28,1
HRR227380,1.92,1
HRR227381,3.72,1
HRR227382,3.84,1
HRR227383,4.8,1
HRR227384,3.88,1
